label,text
0,"Seeker post: Depression. non med depression ?<>  Response post: generic answers heard years tend go something like following; exercise, sunlight, talking, therapy, stroking animals, eating healthily, meditation writing one thing thankful daily. say sincerity worked helped others. Keeping busy hobbies days able function might help. slightly me."
0,Seeker post: It’s terrible alone crisis. wanted express this.<>  Response post: amount 'you alone's internet randos reach help. local mental health system absolute joke often made suicidal. also alone crisis.
0,Seeker post: honestly world me.. nothing thats feel like living make people happy like cause feel sorry cause actually like jesus live sorry life.<>  Response post: least got people trying comfort you. even dont that. people got Much worse
0,"Seeker post: fuck depressed. even remember feel empty Like I'll great time suddenly want go home sleep fuckin dumb want happy I'm even sure like I'm little overweight? stress? can't get girlfriend? that's stupid reason depressed fuck fix write trash thinking people actually read<>  Response post: need reason? Depression illness, like illness need form justification, *is*"
1,"Seeker post: world really pretty.. Pity, anymore cherish it.<>  Response post: good man, Median. hope know this. hope people around tell story centuries, live hero minds newer generations. But, I'd rather live, personally."
1,Seeker post: kids selfish yet selfless thing person do.. wish never existed.<>  Response post: Yes right experience.Not dealing problems. isolated family. came second nature.When understand me.I kept busy shitty computer avoid problems. realize worst thing could done. need try harder put family first means everything me.
0,Seeker post: death make people sad?. relief hell known life<>  Response post: really think life he'll understand weird sadness fear death people have. I've known people died. sad all. Everyone know going die one day going die. sad?
1,"Seeker post: anyone listen. I'm bad place right now. could really use friend.<>  Response post: friends here, willing listen. Need someone listen sometime too. I'm going bed right now, want message get back tomorrow."
0,"Seeker post: everything challenge. Tying shoes..eating..pulling shirt head, even walking. Everything hard like climbing mountain. give see world differently<>  Response post: ive sat room crying eyes thinking mostly this. Conversations people ive known whole life find difficult, natural. Everything feels forced! im sick trying hard look normal. hide feelings absolutely everyone im exhausted. motivation life, feel like im waste skin"
1,"Seeker post: wanna go back psych unit third time.. feel like I'm pushed edge. want go back psych unit third time 6 month period. do?<>  Response post: Omgosh. want validate feeling there. said, matter safety, question. know need go. it. kind failure. taking care yourself. super suck though. let anyone tell fine fun go that. I've there. I've come end okay long periods though mean, stay like that. Hang on. gets better."
0,Seeker post: Feeling really hopeless right now.. anyone offer positivity good vibes right now?<>  Response post: Write one good memory something nice happened recently.
0,Seeker post: Nothing works. took one pill worked. pill I'm worst one all. call tell them? dont know exactly call. Please kill me.<>  Response post: taking vs taking now? prescribed general doctor psychiatrist? feel like danger right now?
0,"Seeker post: I’m okay sudden. fucking depressed thinking suicide every single day fine? month two since feeling suicidal nowhere feel ok. What. The. Fuck.<>  Response post: Thought ok passed away half year, coming back, hits twice bad before."
1,"Seeker post: I've bed 5 days. can't seem stay hour time. Tomorrow last sick day. can't get lose job. Somehow really even care. wish could blink existence.<>  Response post: Get take shower, go walk clear mind. usually helps going one periods. sucks, get it. lose job, want end street. stronger think, there's cloud depression around that's obscuring vision. Stay strong give up. this."
0,"Seeker post: .. always good news followed shit night, followed sitting 2am wanting kill myself? life difficult? impossible fucking happy shit fucking life? What's point anymore?<>  Response post: well nothing made extremely difficult read post using period title. saying judging."
0,"Seeker post: anyone else sleep early escape thoughts get night?. always see people say depression causes stay awake night become lethargic day 10pm, become increasingly paranoid depressed force sleep. want know anyone same...<>  Response post: used to. rn im area going sleep tmrw come"
0,Seeker post: get $100 quickly easily?. want buy weed. course one depressed like needs drugs. im serious want weed smoke 24/7 help depression.<>  Response post: mean fastest way pawnshop trading stuff GameStop
0,"Seeker post: Since hate world unfair dont become humanitarians. :) even though bad outweighs good least helping others :):)<>  Response post: something good, I'd it."
0,"Seeker post: changes. see changes wake morning ask life worth living blast<>  Response post: day repeats change gets worse, preach man."
0,"Seeker post: problems insignificant. get bullied. bully myself. get beat up. beat myself. family best, worst. things look forward to, even provide minuscule amount happiness. people worse. whine. insignificant.<>  Response post: Pain's pain. There's point comparing suffering someone else's. Depression demand good reason. surface level, there's lot life people would even jealous of, make less miserable. one living experience, one else say whether warrants pain. feel something, feel something"
0,"Seeker post: thing getting 'lit' weekend fall scented candles.. lonely. I'm summer vacation lay bed day, browse random shit online. wish could fun things, Nope, even get life.<>  Response post: Treat body lotion, chocolate icecream maybe glass wine it. ask relaxing weekend that."
1,"Seeker post: cares exist?. today sad day. one days guess. i'm kinda done. theres much look forward days. everything kinda same.<>  Response post: care, man. Hang there, things get better eventually."
0,Seeker post: 20th birthday yesterday. emotions towards it.<>  Response post: Mine coming generally indifferent it. told family want anything it.
1,"Seeker post: 18th birthday, everyone congratulating honest I'm surprised I've made far.. Everyone wonders want life idea. reason idea think I'd still alive today. thought would ended now. Happy birthday<>  Response post: Congrats birthday. I've never thought well might see HS graduation year."
1,"Seeker post: I'm contemplating suicide via ruining life.. can't quickly, I'll slowly. I'm rush. mean fuck it. I'm going miserable whether I'm working dream job cashier McDonald's. What's point taking something someone else gonna enjoy more?<>  Response post: Maybe one day things become brighter see better light dream job might ideal"
0,Seeker post: emotional trauma/neglect re-traumatized top depression. can't take anymore want out.<>  Response post: trauma come about?
1,Seeker post: Fuck it. girl broke im done. well. clean months now... want die get with.<>  Response post: hope still here. gets better.
0,"Seeker post: Everyday ask killed myself.. day passes less reasons.<>  Response post: there's one thing regret doing, kill 12 actually attempted it. downhill 15 years since."
0,Seeker post: finished 6 hour motorcycle ride two states.. get hit?<>  Response post: motorcycle ride sounds super cool. can't even force bike.
1,Seeker post: good even worth it?. idek anymore. much bad...<>  Response post: good worth it! Hang there! get stronger this! make cause good worth it! Lots love!
0,Seeker post: People said try finding goal. goals. can't work feel tired. makes feel worst due failure.. sad feel...given up.<>  Response post: guess idea something strong enough motivate towards it. personally goals never really help here.
0,Seeker post: become comfortably numb. afraid becoming<>  Response post: mean practice? one persons got tired used use others?
1,Seeker post: feel alone. hurts much<>  Response post: Please know someone cares would heartbroken here.
0,Seeker post: can't even drink escape sorrows can't stand taste alcoholic drinks. least guys going haha.<>  Response post: Weed make sorrow funny
0,"Seeker post: think God laughed day put Earth.. Depression cruelest punishment all.<>  Response post: He's laughing us, sick fuck."
0,"Seeker post: Anyone feel homesickness home. know sounds strange think that's best way articulate it.<>  Response post: time find link right now, Sarah Silverman said exactly interview Terry Gross Fresh Air months ago."
0,Seeker post: Stress fasting?. folk get it? gets rough pretty much eat 4-7 days<>  Response post: opposite problem. eat eat eat depressed. Sometimes bad anxiety eat though.
0,Seeker post: Anyone else hard time time year? Looking help.. 2 kids hard time getting Christmas spirit. darkness makes tired time feel like anything going bed.<>  Response post: Personally hate Christmas Christmas spirit crap.
0,Seeker post: Anyone else feel incapable happy?. matter good things can't seem happy.<>  Response post: feel like purpose. Like need things survive. things need need me.
0,Seeker post: cried reason public place. first time really cried crowded place.<>  Response post: close many times.
1,"Seeker post: im lowest point life. keep failing everything do, reason live. Please help cant anymore. become big me, idea hope do. Please, help.<>  Response post: I'm here. I'll try help."
0,"Seeker post: Got back therapist.. useless... questioned dont work dont meaning life... useless visit useless person.. well guess time stop this..<>  Response post: felt EXACT way first went well. felt like grilling life, even tried lie say I'm mostly 100% happy life wish friends cleaned house more. YEAH RIGHT. I'm mess lot time many problems dont know begin. Eventually started know therapist dive smaller issues, really start open opened well. Keep going. first day hardest think"
0,"Seeker post: ever stared blankly car's headlights speeds towards you, wishing would would hit kill instantaneously?. close eyes accepting promised bliss death... car stops. slowly sink bank reality open eyes walk on.<>  Response post: One old therapists used tell still considered suicidal thoughts even though actively planning anything. always told wishful thinking. Lol."
0,"Seeker post: Wish parents would die could commit suicide. want alive.<>  Response post: current goal outlive everyone cares me. seems like nicest thing them, also grants chance figure stuff out. self-preservation instincts driven pain would cause loved ones something happen me, situations, fear keeps going worst it. can't yourself, try carry someone care about."
1,"Seeker post: dog ran away today.. fault, left gate wide open. feel like shit.<>  Response post: really one worst feelings. dog best friend 6 years gone one day got home. two years ago still miss buddy"
2,"Seeker post: miss mum. I'm crying lot today and.I'm really depressed miss mum<>  Response post: I'm sorry, friend. lost mum too, two years ago. feel pain it'll get better you, promise."
0,"Seeker post: Maybe I'm depressed. Maybe like living.. mean, seem depressive symptoms except generally dissatisfied life suicidal. None drugs worked. None shrinks helped. Maybe living really shitty, boring thing aggregate.<>  Response post: Everything pointless, feelings illusions brain chemicals. see meaning life, purpose, happiness, satisfaction. happy/wanting live normal quality human? Can't depressed normal too? depression real?"
0,"Seeker post: Anyone else nothing worth living for?. friends, job prospects, romantic success look forward to. Makes life look like utterly pointless waste time. Anyone else struggling this?<>  Response post: way - job (and prospects), friends, live life solitude, since cannot enjoy spending time friends people amplifies depression - clue why. Maybe always feel alone, even company makes avoid it. yeah, I'd call life worth living least somehow related struggle."
0,"Seeker post: Anyone take mental health days work?. use vacation, PTO, sick, FMLA?<>  Response post: Back old job, used sick leave."
0,"Seeker post: Depression shower thought. Common saying suicide selfish, lot non-suicidal people understand people suicidal know people around better lives know alive selfish.<>  Response post: think like...suicide selfish, asking someone commit suicide. argument kind invalid merely question gets selfish."
1,"Seeker post: Sometimes wonder even try. I've never really overcome depression, always comes back worse before. worst I've ever had; can't go 5 minutes without thinking suicide.<>  Response post: Same, well obviosuly know feel 100% thinks appropiate say relate deeply. try distract ourselves, even 5 mins. Listen song like, watch small video, browse r/eyebleach even go drink water. Im gonna try watch something youtube least try think know what. Wannna try me? :)"
0,"Seeker post: Freshmen 3, 1/2 years. even blame depression , dumb. community college three years academic probation university, second semester twelve credits name. trying , really hard hopeless. day parents told made room future degree , next siblings degrees! twenty-two years old going twenty-three. know do.<>  Response post: took seven years get bachelors, lot done part time online. schedule. Nobody else's."
0,"Seeker post: silly blue hit ruin everything built mentally point.. especially ACT. fuck me.<>  Response post: silly, cruel ;-;"
0,Seeker post: It’s like I’m driving driving wheel. wishing car hit wall<>  Response post: Except we're driving flat plane
0,Seeker post: entire reason existing explained one word.. Work. . . That's it.<>  Response post: Revenge. . . life thrown away.
0,"Seeker post: Getting situation choice.. Paraphrasing former friend used say. Splendid, felt enlightened could cry tears joy.<>  Response post: Well yeah, relatives mess?"
0,"Seeker post: Today birthday. happy shit, I'm empty. happen you, happy empty? sucks. Want shit end<>  Response post: Happy birthday bud :) Virgo perks... one them. Always perfectionist, never happy anything. feel man.. tomorrow birthday."
1,Seeker post: Idk. 5 everything hitting<>  Response post: man feel
1,"Seeker post: I've depression since 8 years old 21 years old recovery.. makes incredibly scared future...<>  Response post: Depressed since 9, I'm 23 now...I totally feel you, alone. Thankfully life seem get better year passes, deal severe depression occurs try enjoy times milder. Good luck life."
0,Seeker post: anyone else feel normal late night?. find depressed mostly morning-evening. However feel content relaxed late night<>  Response post: Late night pretty much time feel normal. bad waste night sleep.
1,"Seeker post: Feeling dead inside. last 1-2 weeks feeling nothing inside, like people, dont know do. Thoughts middle night well, might die, dont live for. Literally void nothing, black space.<>  Response post: someone who's felt same, have? I'm speaking objectively, typically want admit need feel do. I'm saying lot, post necessarily shed lot light what's going on. easy, me, least, say know live for, past. Somebody cares, man/woman, small large. know situation is, post, feel free message want."
1,"Seeker post: Feel like I'm forgetting enjoyment is. Time partner feel fulfilling, like did. Even zoo job feels routine; much there, today, feel dull it. hate this; deserve numbness, grateful life. Depression, thieving fucker..<>  Response post: deserve it! one does! yourself, though. Try roll instead beating more. could comfort instead see does."
0,Seeker post: 20's. 20's supposed suck bad. want fast forward life gets better. Kind like click remote.<>  Response post: pray friend. Pray lift things issues God. Pray without ceasing. Put faith trust Lord would help overcome issues struggles. wish best. God bless friend.
1,"Seeker post: Feel lonely hopeless... mind even clear enough articulate thoughts write clearly. feel lonely want die.<>  Response post: ALONE!!!! posting proves that. matter give up. always better day, better year, better life. much help waiting you. Talk need to, judge relate. Please rob world life! PM need help need talk, always willing to!"
0,"Seeker post: Lonely crowd. I'm hanging party 75 drinking, feel completely alone.<>  Response post: Exactly. worry OP ok, one conversations got awkward shrug off, fucking matter. see someone alone , go talk them. everyone group like hey guys what's sup , try weird yourself. People accept promise. best try taking one person, much better results go thing"
0,"Seeker post: cut sheer boredom. know happens stop.<>  Response post: Replace cutting something else. wanna cut something else. smoke haha seriously maybe theres things might enjoy. lost motivation anything used like running till body hurt. releases endorphins good stuff. vouch, felt good afterwards."
0,"Seeker post: despite medication, depression coming back. worked well, thought finally feel normal well nice 2 months im feeling like shit side effects well 1 month ill see psychiatrist lets see survive till<>  Response post: notice feeling crappy again?"
0,"Seeker post: Anxiety/panic attacks. guys deal anxiety/panic attacks? used lot could discrease never really stop. they're back like, almost daily basis really know handle all.<>  Response post: Medication. panic would feed point I'd done anything make stop."
1,"Seeker post: wish cancer. family helping me, instead judging<>  Response post: Dude say man family loves trust want cancer"
0,"Seeker post: Depressed.... I've faced biggest betrayal ever, depressed shit. thoughts?<>  Response post: actually, faced biggest betrayal date. Wether bigger betrayal happen future not, can't know. i'd try get it. Life may short betrayal event story. Flip page carry on!"
0,"Seeker post: can't stop comparing everyone else. even know anymore--just not. past week really rough...<>  Response post: Even it, people constantly me."
0,"Seeker post: clean room. Need little encouragement.. I'll report back I'm done progress going. use adhd medication get start, even though tend things instead, come makes think bad thoughts. Sigh. Wish luck.<>  Response post: really depression"
0,"Seeker post: .... Feeling hopeless useless moment... Empty, lost, darkness<>  Response post: days want lie bed listen sad angry music."
0,"Seeker post: Can’t sleep, techniques suppress depressive thoughts future fall sleep?. sleep 3 hours Please help<>  Response post: make fantasy stories head do, maybe could find something similar do?"
0,"Seeker post: Living past .... present..<>  Response post: Yesterday yesterday, today today. Tomorrow tomorrow. one foot past, one foot future, pissing present. Think one."
0,Seeker post: Anyone else use smart years idol became stupid. Happened me. awful. think constantly disengaging<>  Response post: smart kid getting straight As. struggle get Cs.
0,"Seeker post: feeling look dental bill.... ...and could scream agony, realizing one blame abusing neglecting teeth, including expensive previous dental work that's gone hell. Depression carries heavy lessons.<>  Response post: feeling teeth rotting away scared go dentist. :("
0,Seeker post: really want depression go away.. part even though keeps anything also makes me. Suicidal thoughts large part personality.<>  Response post: Strangely.I feel deeply know always suffer deeply.
1,"Seeker post: promise kill myself. Dont think keep it.. therapist made promise kill cant keep suffering<>  Response post: perception long time myself. realized eventually reaching myself. I'm here, forgotten you. I'm help! :)"
0,"Seeker post: Sister depressed help?. sister 4 years older me. depressed least 4 weeks maybe longer. live city. Based personal experience kinds things like hear loved one? makes feel better?<>  Response post: really sweet. Send horrid memes, lol. maybe remind something really funny happened two past. mail small box like $5, mail letter favorite candy. small thing think might put smile face would probably help. Even phone call text."
0,"Seeker post: Depression addiction. suffering depression 13. 19. friends. die right now, one notice. adicted heroin cocaine methadone. need help may die. &amp;#x200B;<>  Response post: tried admitting anywhere?"
0,"Seeker post: Talking people help. matter much vent, nothing actually helps still feel same.<>  Response post: see therapist ? Maybe medical treatment psychiatrist regular appointments could help ? helping"
0,"Seeker post: hate going sleep knowing I’ll wake morning.. wish end already.<>  Response post: understand. regret going sleep knowing wake, same. Nothing changes, problems different day. realized, slowly painfully, changes happen unless make effort try change things Currently keep getting pissed staying late do, drinking sleep, hoping morning, something new happen instead really going life. point I'm hoping make need make effort change really want change life's headed, need hold change."
0,Seeker post: depression endless fucking cycle. depressed stupid shit. make life worse. get depressed. cycle continues<>  Response post: Fucking true. Made bad decisions including drunk driving stint last weekend I'm trying deal consequences. Feel like I'm punished self destructive.
0,"Seeker post: Holy hell cant sleep?!. started taking Zoloft days ago since fucking fall asleep. I'm idiot know side effect shit annoying. school morning<>  Response post: taking Zoloft days made sleepy ever. Today took half dose (25mg instead 50) feel less drowsy, worse."
0,"Seeker post: call someone,. solution hands, ready use instantaneously, yet chooses continue whining life?<>  Response post: sure. whine life time solution, use right away. gone tonight!"
0,Seeker post: Happiness hard come by.. know happy... seems like there's always something lingering wants put down.<>  Response post: like start really tiny things small moments.
0,"Seeker post: want partner even friends want freedom kill myself, least number people affected.. way, parents siblings saddened.<>  Response post: used imagine hoping existence, wishes usually fail. case, I'm recently starting appreciate lives connected rather delusion think never connection begin with, else itd different. Anyway, ok take isolation figure things out, life's like riding bicycle."
0,"Seeker post: become Introvert ?. may sound wired think extroverts suck becoming Introvert may help depression anxiety worst think BPD.Can someone give guide become Introvert. Thanks<>  Response post: Introvert here, still get super lonely stress would say people every single thing say wrong."
1,"Seeker post: Trust curious little thing.... take granted... eventually realise: concept actually exist.<>  Response post: wrong. hard trust may get burned, willing take risk. people care you."
1,"Seeker post: failed suicide attempt. tried hang saved mom. :(<>  Response post: I'm glad mother loves you. hope able pass time feel better. Perhaps find local nonprofit volunteer at. Something simple like food bank, maybe soup kitchen. way, know alive next weeks, direct purpose. something small, make lives others better, lived. build go help people."
1,Seeker post: feel like drunk person I'd without depression. drunk mean drunk xanax<>  Response post: feel you. I'm happy ease I'm drunk. I'm sure I'd drink lot disposable income.
0,"Seeker post: want die. fucking hate miserable existence. I'm shitty excuse human being. can't even kill properly probably stop trying soon.<>  Response post: makes think shitty human being? know know story, pardon I'm coming rude saying (that intention, I'm solely trying help), maybe reasons founded. example often worry people love abandon me, even though really founded know back head probably happen, still one largest fears."
1,"Seeker post: people deal deprrssion. got depression recently. Iv4 never before. days wanna end life days happy. people overcome<>  Response post: overcome it. learn live it. there's nothing wrong that. find thrill seeking helps me. I'm sure productive strategy, definately gets keep waking up. ever need talk, feel free message me."
0,"Seeker post: anyone else hard time getting motivated exercise?. find exercise almost unbearable w/ depression.<>  Response post: way I'll exercise real task matters, like jogging get bus stop time lifting furniture work. can't whole exercise sake healthy thing. care enough health work."
0,"Seeker post: abstaining masturbation cures depression?. least people?<>  Response post: Well find can't even stay hard anymore, I'm giving it. Going 7 times week 0."
0,Seeker post: I've laying bed 2 hours. I've laying dark eyes closed 2 hours still can't fall asleep. early classes too. sucks. want sleep heart pounding can't stop thinking. feels like I'm wide awake.<>  Response post: always herbal OTC sleeping supplements prepared case happens. Relaxing teas works sleepy go toilet. many cases work pretty well.
1,"Seeker post: Sometimes know something make depression worse can't stop!. eating making plans friends ETC ETC<>  Response post: Oh crap dude too... keep lying bed day binge-eating junk food (like, entire bag hot cheetos more) l always end feeling even worse l can't stop."
1,"Seeker post: can't keep going.. getting hard put fight.<>  Response post: currently feeling. want talk me. Rant out, listening"
0,Seeker post: Sometimes difficult ask help. worse people willing help.<>  Response post: Sometimes got find right people help all. think would surprised sometimes people would willing help
0,"Seeker post: Life unbearable, do?. I'm stuck prison. know.<>  Response post: felt like honestly know happened change it. pretty sure got good hiding acting happy started believe"
0,"Seeker post: normal depressed ? something else wrong you. think depression excuse something else ? think I'm sucidial think selfish<>  Response post: Maybe. Maybe increasing people getting convinced others they're depressed? sickness, sucks"
1,Seeker post: want anymore.. Currently debating whether end it. Im lonely lost.<>  Response post: alone. PM ever need someone chat.
0,"Seeker post: Anyone tried ketamine infusions depression?. Considering trying treatment depression, anyone already tried it?<>  Response post: tried know medical professional says really works many patients. covered insurance though."
0,Seeker post: wish could drunk 24/7. hate life. Nothing enjoyable anymore sober.<>  Response post: Same. drink every night. look forward 731 every night kids bed pour four shots whiskey
0,"Seeker post: spent today either staring blankly computer screen phone. hurt anything today, really.<>  Response post: That's accurate description past 2 months life."
0,"Seeker post: want tear skin become new person. feel like I'm constricted<>  Response post: possible, would live stuck this."
0,"Seeker post: Anyone else hate social media stories?. Also lives bc show people fun together time sitting alone dark room wishing born. Also see lots things invited that's always great<>  Response post: Exactly reason stay away Instagram, facebook, snapchat now. Always makes feel like shit"
0,Seeker post: find drugs sex boring hell. wtf even look forward to?<>  Response post: wish something look forward to.
0,"Seeker post: saw photo year ago. I... can't believe much anxiety, stress, sadness aged face. look like different person. happen? happened too?<>  Response post: Unfortunately im thin anyway depression lost weight appetite.With 24 years age look like 14year old boy. beard ,just 56 height. Fuck me."
0,"Seeker post: know whether .... depressed anything anything depressed ?<>  Response post: can't speak you, anything I'm depressed. used things gradually started feeling worse I'd go out. try make plans never follow them. feel bad change mind things quickly."
0,Seeker post: 2017 worst year. Without better future sight either :))<>  Response post: year keeps getting worse haha please end
0,"Seeker post: Anyone else occasionally go car bathroom work cry?. Sometimes keep together whole work day<>  Response post: would totally cry desk, one even noticed."
0,"Seeker post: swear one person tells me: one life, time waste worrying, entire future ahead kick him/her crotch.. tired tired soul-sucking routine engraved DNA.<>  Response post: make feel worse feel selfish"
0,"Seeker post: Hey!. life treating today?<>  Response post: shitty. you, OP?"
2,Seeker post: Another twelve hour graveyard shift. forgot take meds.. gonna long night &lt;/3<>  Response post: Sorry hear that. Hopefully goes quick.
0,"Seeker post: There's someone everybody. problem is, I'm nobody.<>  Response post: good advice :( , sorry. absolutely embodies everything ever felt, thanks least finding words."
0,"Seeker post: First step... hardest step.. enjoying 6years depression dark stuff sick brain... I've taken step now. weeks mental hospital. Hoping get out. sure Tell here. Maybe hoping others take step to. Good luck shitty shituation. #smallsteps<>  Response post: hearing every line book, found single post surprisingly helpful"
0,Seeker post: Hey guys. exam half year left . understand absolutely nothing. feel like fix . do? Maybe kill myself? how? Also many many problems.... ah. Depression.. help?<>  Response post: help want
0,"Seeker post: Bank account likely hit 0...another job interview I'm primary candidate. Still unsure future... I'm plenty sick living woth family, yet there's much it.<>  Response post: Sometimes environment given, adapt. I'm impressed actually able go another job interview, shows hunger motivation. that's blessing"
0,"Seeker post: still count exercise go back sleep after?. like...i wake early run little bit go back sleep rest day. feel like accomplish anything makes feel worse. wonder maybe helping sometimes.<>  Response post: it, counts."
0,"Seeker post: feel like shit.. really know why. Everything's overwhelming sudden. feeling great past month, back. something wrong? know why.<>  Response post: feel like shit everyday. wanna fade away."
0,"Seeker post: Lost thought.... feel like living pointless?<>  Response post: think objectively pointless, humans seek meaning things, life definite meaning. me, ironic, one hand, want die ASAP maybe sleep, other, want live long possible witness far technology reach, especially astronomy VR. suppose I'm trying say is, many said before, find meanings. find 'joy' somehow, within pointless struggle day die. tough, know, suffer same."
1,"Seeker post: Please help me. ex fiance told he's dating someone want get back together tonight leading two months. taking kill myself. Please help me.<>  Response post: Im sorry guys douchebags. honestly better people there. promise someone wants love you. always people want friend, like me! hope wanna talk more. -Reaper"
0,"Seeker post: Medication works?. dealing depression long time tried medications results. wondering medications worked people could look cost / side affects. Thanks advance.<>  Response post: Medications work differently everyone. Usually doctor psychiatrist prescribe different ones depending tried worked. personally trialling different medications approximately 4 years luck, almost available medications."
0,"Seeker post: want end without affecting parents. nothing going well. ruminations past situations getting worse one understanding painful, point two people got fed made feel worse. want kill badly.<>  Response post: Man, fucked really hard parents payed it. fucked paying again. mistake before. keep relapsing relaps costs lot money affects relationship. see hope myself, keep relapsing forever. feel like killing would greater good."
0,"Seeker post: 32m never girlfriend. sucks I've tried hard find someone, even online dating, feel like I'm going single forever. sure give keep trying<>  Response post: 33M gay. Never relationship. Probably one painful things deal with. feel like might well give point."
0,"Seeker post: Cutting. I'm sure broke streak 8 months cutting feel different, pain. know whats wrong me. Help?<>  Response post: reason use cut point part body say hurts here. made feel better time real solution. pain Broski. would think maybe extra bad day/night tried fall back old habits."
0,"Seeker post: anyone actually ever go high school reunions?. imagine anything worse, even hell itself.<>  Response post: haha come back home never even go home town. can't tell severe problem - met old friend I'd black out...had dream happened...it's awful. That's social side - could imagine questions?? to; etc. FUUUUUUUUUUUUUUUUUCK"
0,Seeker post: Vodka malt liquor working anymore.. need lots vodka tomorrow.<>  Response post: built tolerance.
2,"Seeker post: cat got shot plumb dead now. would loved never born face many things like scared dying world unfair<>  Response post: I'm sorry, sad!!!! cruel world. make better kind, sensitive heart."
1,Seeker post: wake want day already.. Like nothing look forward to.<>  Response post: know feeling. I'm tired. want play game anymore
0,"Seeker post: dont know im living anymore. there's nothing i'm truly looking forward actually achievable. there's nothing dread anxiety future, far- near-. god damnit. dont know im alive.<>  Response post: could look forward getting better. Slowly, maybe never fully cured, better. good thing aim for, unattainable seems."
0,Seeker post: motivation sperm. big marathon billions lol.<>  Response post: first last W
0,"Seeker post: made first 40 hour work week without calling in, leaving early coming late almost year.. know did.<>  Response post: tried I'd getting 3:30am instead 5:30am...."
1,Seeker post: wish dead.. nearly 12 midnight. anyone cares?<>  Response post: alone. remember that.
0,"Seeker post: “Remove negative people life.”. always see little tidbit articles overcome depression. Bitch, negative person life. problem, am. want friends with/date cold stone like either. remove life then??<>  Response post: statement bullshit. I'm toxic, negative person life."
0,Seeker post: Eating food tastes bland. can't even feel happy pizza.<>  Response post: Get yummy ice cream!!
0,"Seeker post: can't one fantasize, right?. spending fair amount time fantasizing stuff lately. tons stuff really like falling sleep so. anyone else this?<>  Response post: Like crazy, video game time, im scared not, getting really bored tbh, cant nothing, brain kill"
0,"Seeker post: Nobody really cares depression. It’s even considered illness people’s minds. get support cold depression, even thought 1,000,000 people die year,. Title says really. people care depression. minds, something snap up, understand existential loneliness emptiness comes it, waking moment. feel disconnected everything.<>  Response post: usually innocent ignorance. people understand mean anything what's true, except really difficult illness goes unrecognized. &amp;#x200B;"
0,"Seeker post: wow, yelled negative sure makes feel better!. definitely make feel worse anything. yelling depressed person definitely correct choice, instead supportive.<>  Response post: Oh, family time. Like, expect. Also, say they're feeling worse watch depressed. Like, hello, I'm depressed here, you. try blane anxiety negativity, like I'm blame people generally like me."
0,"Seeker post: anyone success Mirtazapine (Remeron)?. I've tried Zoloft, Prozac, Citalopram Venlafaxine (Effexor).<>  Response post: Haha. exact medications. No. nothing. even notice it."
0,"Seeker post: want already. would whole lot easier shit<>  Response post: Whats fun easy? die end... reason rush :) nothing matters beyond want matter, conclude life meaningless boring hard whats point perspective? meaningless else meaningful? base views nothing else point existence? course assumes actually think pointless meaningless... hard, for, know something never experience easier? Ah rambling gets nowhere one else cares see way... eh oh well. Anyways, troubling you?"
